id;school;degree;start_date;end_date;classification
1;e-business Light;integrate Personal Loan Account;2019-06-19;2019-06-19;4530
2;implement;Optimization Cambridgeshire;2019-06-20;2019-06-19;68396
3;Checking Account;invoice Outdoors New York;2019-06-19;2019-06-19;57547
4;incubate deposit Station;parsing Investment Account;2019-06-19;2019-06-19;65148
5;teal analyzing yellow;Books Generic;2019-06-19;2019-06-20;7118
6;functionalities quantifying;wireless;2019-06-20;2019-06-20;49603
7;Solomon Islands Dollar;Personal Loan Account HTTP;2019-06-19;2019-06-20;80348
8;intermediate Table quantify;Wyoming interface Cotton;2019-06-20;2019-06-19;58054
9;JSON Texas;bandwidth;2019-06-19;2019-06-19;75454
10;Fantastic;Liechtenstein Buckinghamshire monetize;2019-06-20;2019-06-19;9998
